"spo","meanW","semW"
"SPO0325",1.02,0.04
"SPO0326",1.04,0.01
"SPO0327",1,0.02
"SPO0328",0.93,0.02
"SPO0329",0.93,0.03
"SPO0330",0.95,0.01
"SPO0331",1.02,0.03
"SPO0332",0.06,0.06
"SPO0333",1.07,0.04
"SPO0334",0.33,0.08
"SPO0335",0.98,0.01
"SPO0336",0.98,0.04
"SPO0337",1.02,0.01
"SPO0338",1.04,0.02
"SPO0339",1.02,0.02
"SPO0342",0.97,0.05
"SPO0343",1.06,0.04
"SPO0344a",0.83,0.05
"SPO0345",0.39,0.18
"SPO0346a",0.8,0.02
"SPO0347",0,NA
"SPO0348",0.94,0.01
"SPO0349",0.29,0.16
"SPO0350",1.02,0.02
"SPO0351",0.94,0.09
"SPO0352",0.98,0.03
"SPO0353",1,0.03
"SPO0354",0.97,0.03
"SPO0355",0.87,0.03
"SPO0356",0.95,0.02
"SPO0357",0.96,0.02
"SPO0360a",0,0
"SPO0362",1.03,0
"SPO0363",1.01,0.01
"SPO0364",1.01,0.01
"SPO0365",1,0
"SPO0366",1.02,0.01
"SPO0367",1,0.01
"SPO0368",1,0.01
"SPO0369",1.01,0.03
"SPO0370",1.03,0.01
"SPO0371",0.95,0.02
"SPO0372",1.05,0.01
"SPO0373",1.02,0.01
"SPO0374",0.82,0.06
"SPO0375",0.93,0.01
"SPO0376",1.01,0.03
"SPO0377",1.04,0.02
"SPO0378",1.02,0.01
"SPO0379",1,0.05
"SPO0380",0.97,0.02
"SPO0383",0.97,0.09
"SPO0384",1.04,0.02
"SPO0385",0.98,0.02
"SPO0386",0.66,0.09
"SPO0387",0.99,0.03
"SPO0388",1.03,0.02
"SPO0389",0.9,0.02
"SPO0390",1.06,0.01
"SPO0391",1.07,0.01
"SPO0393",0.92,0.05
"SPO0394",1,0.01
"SPO0395",0.97,0.08
"SPO0396",0.95,NA
"SPO0397",0.2,0.2
"SPO0398",0.91,0.11
"SPO0399",0.99,0.12
"SPO0400",1.1,0.05
"SPO0401",0.67,0.04
"SPO0402",0.96,0.02
"SPO0403",0.97,0.02
"SPO0405",0.82,0.21
"SPO0406",1.06,0.04
"SPO0407",0.98,0.02
"SPO0409",0.93,0.04
"SPO0410",0.88,0.01
"SPO0411",1.03,0.04
"SPO0412",0.86,0.09
"SPO0413",0.98,0.03
"SPO0414",1.04,0.02
"SPO0415",0.92,0.03
"SPO0417",1.05,0.09
"SPO0419",0.94,NA
"SPO0421",0.94,0.05
"SPO0422",0.58,0.02
"SPO0423",1.01,0.05
"SPO0424",1,0.03
"SPO0425",1.01,0
"SPO0427",1.01,0.03
"SPO0428",0.98,0.02
"SPO0429",0.97,0.03
"SPO0431",0.96,0.04
"SPO0432",0.92,0.04
"SPO0433",0.98,0.01
"SPO0434",0.98,0.04
"SPO0435",1.05,0.03
"SPO0436",1,0.02
"SPO0437",1.05,0.03
"SPO0438",1.03,0.01
"SPO0439",0.91,0.03
"SPO0440",0.95,0.03
"SPO0441",1,0.07
"SPO0442",1.02,0.1
"SPO0443",1.11,0.06
"SPO0444",1.01,0.08
"SPO0445",0.93,0.04
"SPO0446",0.93,0.02
"SPO0447",0.93,0.02
"SPO0448",0.92,0.06
"SPO0450",0.99,0.03
"SPO0451",0.97,0.02
"SPO0452",0.89,0.05
"SPO0453",0.93,0.01
"SPO0454",1.02,0.01
"SPO0456",1.04,0.05
"SPO0457",1.02,0.02
"SPO0458",0.98,0.01
"SPO0460",0.93,0.04
"SPO0461",1,0.02
"SPO0462",0.94,0.04
"SPO0463",1,0.04
"SPO0464",1.04,0.06
"SPO0465",1.03,0.07
"SPO0466",0.95,0.05
"SPO0467",1.02,0.04
"SPO0468",0.98,0.04
"SPO0469",0.99,0.02
"SPO0470",1,0.02
"SPO0471",0.92,0.03
"SPO0472",0.9,0.03
"SPO0473",0.84,0.02
"SPO0474",1,0.02
"SPO0476",0.97,0.03
"SPO0477",0.93,0.05
"SPO0478",1.02,0.01
"SPO0479",0.99,0
"SPO0481",1.04,0.02
"SPO0482",0.99,0.03
"SPO0483",1,0.01
"SPO0489",0.99,0.02
"SPO0490",0.98,0.01
"SPO0491",1,0.01
"SPO0491a",0.93,0.03
"SPO0492",0.97,0.01
"SPO0503",0.8,0.04
"SPO0504",1.04,0.01
"SPO0504a",1.02,0
"SPO0507",1.1,0.03
"SPO0508",1,0.01
"SPO0512",0.77,0.02
"SPO0513",1.05,0.06
"SPO0514",1.04,0.03
"SPO0515",1.01,0.01
"SPO0516",0.85,0.03
"SPO0517",0.99,0.03
"SPO0520",1.04,0.04
"SPO0521",1.04,0.02
"SPO0522",1.05,0.02
"SPO0523",1.01,0.03
"SPO0524",1.02,0.02
"SPO0525",1.04,0.03
"SPO0526",0.5,0.5
"SPO0527",0.97,0.05
"SPO0528",0.96,0.02
"SPO0529",1.14,0.03
"SPO0532",0,NA
"SPO0533",1.01,0.03
"SPO0534",1.02,0.04
"SPO0535",0.97,0.02
"SPO0536",1.03,0.12
"SPO0539",1.03,0.04
"SPO0540",0.99,0.02
"SPO0541",0.96,0.01
"SPO0543",0.98,0.04
"SPO0544",0.98,0
"SPO0545",0.94,0.02
"SPO0546",0.96,0.03
"SPO0547",0.97,0.06
"SPO0548",0.95,0.02
"SPO0549",1.03,0.05
"SPO0550",1.06,0.08
"SPO0551",0.9,0.12
"SPO0552",1.01,0.18
"SPO0553",0.98,0.04
"SPO0554",1,0.02
"SPO0555",1.02,0.02
"SPO0556",1,0.01
"SPO0557",1,0.02
"SPO0558",1.01,0.02
"SPO0559",1.04,0.01
"SPO0560",0.98,0.02
"SPO0561",1.01,0.02
"SPO0562",0.99,0.07
"SPO0563",0.85,0.09
"SPO0564",0.98,0.01
"SPO0565",0.84,0.09
"SPO0566",0.82,0.05
"SPO0567",0.98,0.11
"SPO0568",1.03,0.01
"SPO0569",0.98,0.03
"SPO0570",0.96,0.06
"SPO0571",1.01,0.04
"SPO0572",0.96,0.07
"SPO0573",0.84,0.04
"SPO0574",1,0
"SPO0575",0.97,0.04
"SPO0576",1.04,0.03
"SPO0577",0.84,0.03
"SPO0578",0.9,0.04
"SPO0579",0.95,0.02
"SPO0580",1.03,0.09
"SPO0581",0.93,0.08
"SPO0582",1.03,0.02
"SPO0583",1.03,0.05
"SPO0584",1.03,0.02
"SPO0585",1.04,0.01
"SPO0586",0.99,0.01
"SPO0587",1.02,0.05
"SPO0588",1.03,0.11
"SPO0589",0.93,0.04
"SPO0590",0.92,0.03
"SPO0591",1.02,0.06
"SPO0592",0.95,0.04
"SPO0593",0.99,0.08
"SPO0594",0.8,0.06
"SPO0595",0.95,0.04
"SPO0596",0.84,0.08
"SPO0597",0.86,0.11
"SPO0598",0.91,0.03
"SPO0599",0.98,0.07
"SPO0600",0.97,0.02
"SPO0601",0.99,0.01
"SPO0602",0.96,0.01
"SPO0604",0.28,0.28
"SPO0605",0.94,0.03
"SPO0606",0.94,0.07
"SPO0607",0.94,0.07
"SPO0608",0.92,0.03
"SPO0609",1.01,0.04
"SPO0610",0.97,0.04
"SPO0611",0.94,0.01
"SPO0612",0.92,0.04
"SPO0613",0.93,0.05
"SPO0614",0.94,0.1
"SPO0615",1.02,0.02
"SPO0616",1.05,0.04
"SPO0618",0.97,0.01
"SPO0619",0.94,0.03
"SPO0620",0.92,0.03
"SPO0621",0.95,0.02
"SPO0622",0.96,0
"SPO0623",0.94,0.01
"SPO0624",0.95,0.01
"SPO0628",0.98,0.02
"SPO0628a",1.03,0.02
"SPO0629",1.04,0.02
"SPO0632",1.03,0.01
"SPO0633",1.03,0.03
"SPO0634",0.92,0.05
