"spo","w_1_rpomAlone","w_2_rpomAlone","w_3_rpomAlone","w_4_rpomAlone","w_1_vib","w_2_vib","w_3_vib","w_4_vib","w_1_mari","w_2_mari","w_3_mari","w_4_mari","w_1_CC","w_2_CC","w_3_CC","w_4_CC"
"SPO1988",1,1.1,1.2,1.1,0.95,0.98,1.1,1,0.95,1.1,1.1,0.97,0.96,1.1,1.1,1
"SPO1991",1,1,0.93,0.95,0.94,1.1,0.98,1,0.95,1,1,0.91,0.96,1.1,0.97,0.87
"SPO1992",0.84,0.82,1,0.97,1,0.93,0.88,1,0.97,0.83,0.93,1.1,0.71,1,1,1
"SPO1994",1.5,1,0.76,1,1.4,0.92,0.78,1.1,1.4,0.98,0.93,0.98,1.4,0.95,0.8,1.1
"SPO1995",0.79,0.89,1,0.85,0.89,0.89,0.87,0.95,1.1,0.93,1,0.81,0.98,0.84,0.91,1
"SPO1996",0.9,1,1.1,0.88,0.8,1.1,0.98,0.76,0.92,0.86,0.96,1,0.92,1,0.97,0.85
"SPO1997",0.54,0.6,1.2,0.95,0.91,0.87,1,1,0.88,0.73,1,1.1,0.94,0.84,0.95,1.1
"SPO1998",0.86,1,1,0.87,0.83,0.96,0.86,0.99,0.88,1,1,0.84,0.96,1,1.1,0.95
"SPO1999",0.97,1,1,0.79,1,1,1,0.98,1,1,0.97,0.93,0.96,1,1,0.98
"SPO2000",NA,NA,0.92,0,NA,0.91,0,1.1,1.3,0.85,0.58,1,NA,0.92,0.41,1.2
"SPO2001",1,0.68,0.96,0.8,0.81,0.76,1,0.76,0.91,0.95,0.94,0.78,1,0.81,1,0.72
"SPO2002",1.3,1.2,0.88,1.1,1,1.1,1,0.79,1,0.97,1.1,0.87,1.1,1.1,1.1,0.97
"SPO2003",0.76,0.87,0.95,0.77,0.78,0.96,0.9,0.84,0.63,1.1,0.87,0.95,0.84,0.87,1.1,1
"SPO2004",1.1,0.98,0.91,0.95,1.1,0.91,0.97,1.1,1.2,0.98,0.97,1.1,1.2,0.98,0.97,0.95
"SPO2005",1,0.99,1.2,1.1,1.1,0.74,1,1.1,0.72,0.86,0.81,1.1,0.84,0,1.1,1.1
"SPO2006",1.1,0.8,0.95,0.92,0.8,0.65,0.95,0.9,1.1,0.86,0.81,0.99,0.95,0.71,0.93,0.98
"SPO2007",0.82,0.94,1,0.95,0.96,0.89,1,1.1,0.86,0.98,0.96,1.1,0.87,1.1,0.89,1
"SPO2008",0.97,0.98,NA,NA,0.98,1.1,1.5,NA,0.96,0.71,NA,NA,0,0.97,NA,NA
"SPO2009",0.66,0.74,0.88,0,0.99,0.79,0,0.54,0.89,0.9,0.93,0.65,0.58,0.88,0,0.92
"SPO2010",0.93,1,1.3,0.91,0.83,1.1,1.1,1,0.94,0.95,1.1,1,0.85,1.1,1.1,0.92
"SPO2013",1.2,0.99,0.89,0.96,0.97,1,0.98,0.98,1,0.97,0.85,1,1,0.95,0.83,0.87
"SPO2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO2015",NA,0,0,0,NA,0,0.33,1.1,NA,0,0,0,NA,0,0,0.39
"SPO2016",1.1,1.3,1.3,1.2,1.2,1.1,1.3,1.2,1,1,1.1,0.94,1.1,0.97,1.3,0.86
"SPO2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO2019",NA,1,NA,NA,NA,NA,NA,NA,NA,0.82,NA,NA,NA,NA,NA,NA
"SPO2021",NA,NA,0,NA,NA,NA,0,1.1,NA,NA,0,NA,NA,NA,0,NA
"SPO2023",NA,NA,1,NA,1.2,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA
"SPO2024",NA,0,NA,NA,NA,0.58,NA,NA,NA,0,NA,NA,NA,0,NA,NA
"SPO2025",1.1,1.3,1.2,0.97,0.67,1.2,0.9,0.92,0.87,1.1,1.1,0.83,0,1.1,0.99,0.58
"SPO2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO2028",1.1,1.1,1.1,1,1.1,1.1,1,1,1.1,1.1,1.1,1,1.1,1.1,1.1,1.1
"SPO2029",1.1,0.85,1.1,1.1,1.1,0.98,1,1,1.1,0.99,0.97,1,1.1,1,1.1,1.1
"SPO2030",1.4,1.4,1.1,0.88,1.1,1.2,1.1,0.81,0,1.3,1.2,0.93,1.1,NA,1.2,1
"SPO2031",1.1,0.96,1,1,1,1.1,0.97,0.98,1,1,0.99,1,1.1,0.99,0.89,0.94
"SPO2032",0.93,1,1.1,1.1,0.88,1.1,0.83,1,0.83,1.1,1,0.95,0.86,1.1,1,1.2
"SPO2033",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO2034",0.98,0.7,0.93,0.89,1.1,0.92,0.96,0.87,0.94,0.96,0.82,0.83,0.75,0.65,0.9,0.82
"SPO2035",0.96,0.85,NA,1,0.91,1.1,NA,0,0.85,0.66,NA,0.91,1.1,1.1,NA,0
"SPO2036",1,0.89,1,1,0.96,0.94,0.97,0.98,0.98,0.95,0.95,1,0.88,0.88,1,0.91
"SPO2037",1.3,1.1,1,1.1,1.1,1.1,0.98,1.1,1.1,1.2,1,1,1.1,1,1.1,1
"SPO2038",1.1,1,1,1.1,1.2,1,1.1,1.1,1.2,1,1,1,1.3,1.1,0.97,1.1
"SPO2039",0,0.62,0.49,0.25,0.75,0,0,0,0,0.68,0.31,0.17,0.9,0.87,0,0
"SPO2040",0.97,1,1,0.79,0.81,1,1,0.84,0.99,1,1,0.88,0.94,0.92,1,0.9
"SPO2041",0,0.18,0.042,0,0.15,0.18,0,0.24,0,0,0.23,0.23,0.29,0.4,0.2,0.24
"SPO2042",NA,1.5,1.1,0,NA,1.5,1.3,0,NA,1.3,0.65,0.79,NA,NA,0.88,0.89
"SPO2044",0.96,1,1,0.91,0.99,1,0.97,0.94,0.98,1,0.97,1,0.95,1.1,0.9,0.95
"SPO2045",1,1,1,0.95,1,1.1,1,0.95,0.97,1,0.97,1,1,1,1,1
"SPO2046",0.81,0.39,0.59,0,0.56,0.6,0.14,0.4,0.65,0.59,0,0.35,0.57,0,0.72,0
"SPO2047",0,NA,0.75,NA,0,NA,0,NA,0.9,NA,0,NA,0,NA,0,NA
"SPO2048",1.3,1.2,0.91,0.96,1.1,1.3,0.83,0.99,1.1,1.3,0.94,0.8,0.99,1.2,0.92,0.82
"SPO2049",1,1,1,1,0.95,0.86,1,0.86,0.96,0.93,1,0.96,0.95,0.91,0.94,0.9
"SPO2050",0,0.58,1,1.1,1,0.83,0.95,1.1,0.94,0.9,0.46,0.93,0.61,0.82,0.94,1.1
"SPO2051",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO2052",0.96,0.93,0.92,1.1,1.2,0.79,1,0.91,1.1,0.95,1,1,1,0.86,1.1,0.97
"SPO2053",1.1,0.98,1.1,1,1.1,1,1,1,1.1,0.96,1.1,1.1,1.2,1.1,1,1.1
"SPO2054",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO2055",0.91,1.2,1.2,1,0.87,1.1,1.1,1,1,1,1.1,1,1,1.1,1.1,0.94
"SPO2056",NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO2057",0.95,1.1,1,1.1,0.75,0.96,0.91,0.88,0.86,0.94,1,1,0.92,0.89,1.1,1.1
"SPO2058",0.9,0.95,0.86,1.1,0.95,0.9,0.81,1.1,0.97,0.85,0.9,0.96,0.87,0.99,1,1
"SPO2059",0.95,1.3,0.78,0.91,0.97,1,0.9,0.75,0.75,1.1,0.86,0.99,0.75,0.97,0.88,0.99
"SPO2060",1,1.1,0.69,1.2,0.96,1.2,0.98,1,1,1.2,0.98,1,0.92,1.2,0.95,1
"SPO2061",1.3,0.87,0.95,1.5,1.4,0.66,0.82,1.2,1.2,1,0.9,1.2,1.3,1,1,1.1
"SPO2062",1,0.98,1.1,1.1,0.97,0.97,1,0.98,0.98,0.99,1,1,0.97,0.96,0.91,1
"SPO2063",1.2,1.1,1.1,1,1,1.2,1.2,1,1.1,1.1,1.2,0.95,1.1,0.94,1.1,1.1
"SPO2064",1,1,1.1,0.98,1.2,1.1,1,1,1.1,1.1,0.97,1,1.1,1.1,1,0.92
"SPO2065",0.89,0.99,1.1,0.97,1.1,0.97,1.2,1.1,1.1,1,1.2,1.1,1,1,0.97,1.1
"SPO2066",0,1.2,0.7,0.49,1.2,0,0.38,0.76,0.97,1.1,0.79,0.76,0.83,0,0.53,0
"SPO2067",0.83,0.83,0.98,1.2,1,0.87,0.87,1.1,0.91,0.94,0.98,1.1,1,1,1.1,1.2
"SPO2068",1,0.94,0.94,0.97,0.89,1,1,1,0.99,0.98,0.99,0.95,0.95,1,0.88,1.1
"SPO2069",1.1,1.2,1.1,1,0.92,1.1,1,1,0.98,0.95,1,1,1.1,1.1,1.1,0.97
"SPO2070",1.2,0.91,1.2,0.7,1,1.1,0.95,0.82,1.1,0.89,0.94,0.81,1.2,0.93,1,0.97
"SPO2071",1.3,1,1.2,1.1,1,1.2,0.97,0.94,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.99
"SPO2072",1.1,0.81,0.96,0.9,1.2,0.97,0.99,1,1,0.97,0.99,1,0.99,0.82,1,1.1
"SPO2073",1.1,1.1,1,1.1,1.1,1.1,1,1,1.1,0.98,1,1,1,1.1,1.2,1
"SPO2074",0.97,1.1,0.97,0.92,0.96,1,0.97,0.97,0.88,0.97,0.98,0.93,0.99,0.99,0.92,0.97
"SPO2075",1,0.93,1.1,1,1.1,1,1.1,1,1.1,0.99,1.1,1,1.2,0.99,1.1,1.1
"SPO2076",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO2077",0.69,0.75,0.84,1,1.1,1.2,0.97,0.73,1,1,0.84,1.1,1.3,1.4,0.65,0.97
"SPO2078",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA
"SPO2079",1.1,1.2,0.97,0.95,1.2,0.89,1.1,0.96,1.2,1.1,0.96,1,1.1,0.86,0.95,1
"SPO2080",0.99,1,1.1,0.91,0.93,1.1,0.98,1,1,1.1,1,0.96,1,0.94,1.1,1
"SPO2081",0.61,0.58,0.73,0.76,0.86,0.76,0.92,0.96,0.71,0.88,0.93,0.81,0.84,0.67,0.72,0.78
"SPO2082",NA,NA,1.1,NA,NA,NA,0.76,1.2,NA,NA,0.49,1,NA,NA,0,NA
"SPO2083",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO2084",0.99,0.88,1,1,1,0.93,1.1,0.88,1,0.92,0.93,0.94,1.1,1,1,1
"SPO2085",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO2086",0.82,0.67,0.7,0.82,0.84,0.82,0.99,0.96,0.67,0.65,0.85,0.73,0.9,0.74,0.66,0.9
"SPO2087",0,0,0,0.26,0.64,0,0.17,0.44,0.67,0.44,0.51,0.4,0,0,0.57,0.15
"SPO2088",0,0.48,0.87,0,0.64,0,1.1,0,0,0.62,0.61,0,0.37,0,0,0
"SPO2089",0.7,0.7,0.51,0.87,1.1,0.55,0.71,0.95,0.92,0.92,0.47,0.98,0.55,0.76,0.78,0.22
"SPO2090",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO2091",0.87,0.76,1,1.1,0.97,0.99,1,1.1,1.1,0.99,1.1,0.98,1.1,0.98,1,1
"SPO2092",1.6,0.8,0.88,1.2,1.4,1.1,1,0.95,1.4,0.94,0.84,1.1,1.6,0.92,0.92,1.1
"SPO2093",0.93,0.83,1.4,0.56,0.76,0.77,1.2,1,0.96,0.63,1.1,1.1,0.76,1.1,1.3,0.98
"SPO2094",1,0.9,1.1,1,1.1,0.95,0.87,0.8,0.96,0.95,1.1,1,0.71,0.72,1.1,0.8
"SPO2095",1.2,0.86,1.2,1.2,0.99,0.88,1.1,1.1,1.1,0.86,1.1,1.1,1.1,0.68,1,1.2
"SPO2096",1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA
"SPO2097",1.1,0.92,1.1,0.98,0.9,0.79,0.97,0.91,1.1,0.92,1,1.1,1.1,0.97,1,0.92
"SPO2098",1.1,1.1,0.93,1,0.89,1.1,0.74,0.81,0.64,1,1.1,0.89,1.1,1.2,1,0.83
"SPO2099",1.1,1.1,1.1,1.1,0.79,1.1,1.1,0.9,0.96,1,1,1,0.92,1.1,0.98,1
"SPO2100",0.86,1,1.1,0.85,0.94,0.96,1.1,1,0.9,1,0.99,1.1,0.94,1.1,1,0.92
"SPO2101",1,0.93,0.98,1,0.94,0.91,0.96,0.98,1,0.9,0.87,0.93,1,0.91,1,0.88
"SPO2102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO2103",1.1,0.97,1.1,1.1,1.1,1,1.1,1.1,1,1.1,1,1.1,1.1,1,1,1.1
"SPO2104",0.73,1,1,0.89,1,0.85,0.95,1,0.96,0.99,0.92,1.1,0.9,1,0.91,0.96
"SPO2105",0.81,0.9,1.1,1.1,0.86,0.89,1,1,0.84,0.99,1,0.98,0.82,0.88,0.98,1.1
"SPO2106",1.1,1,0.82,0.95,0.91,1.1,0.88,1,1,1.1,0.96,1.1,1,1,0.97,1
"SPO2107",1.1,1.2,0.96,0.98,1.1,1.1,1,0.9,1,1.1,0.96,1,1.1,1,0.94,1
"SPO2108",1,1.1,1.1,1.1,1.1,1.1,1.1,1,1.1,1.1,1.1,1.1,1,1.1,1,1
"SPO2110",0.98,1.1,NA,0,0.78,0.87,NA,0.86,0.86,0.49,1.3,0,0.93,0.98,1.3,1
"SPO2111",0.92,0.85,0.91,1.1,0.96,0.85,1.1,1.2,0.84,0.7,1,0.62,1,0.47,1.3,1
"SPO2112",0.7,1.2,0.94,0.71,0.42,1.3,0.61,0.92,0.97,1.2,0.86,0.87,0,1.2,0.81,0.92
"SPO2113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO2116",1,0.91,1.1,1.1,1,0.84,1.1,0.96,1,0.88,0.98,1,0.91,0.87,0.94,1
"SPO2117",0.67,0.87,0.92,1,1.1,0.94,0.73,0.96,0,0.63,1,0.89,0.61,0.74,0.84,1.1
"SPO2118",1,1,1,1,1,1,0.97,1,1,1,0.96,1,1,1,1.1,1
"SPO2119",0.87,0.96,1,0.87,0.85,0.94,1,1,1,1.1,0.99,1,0.97,0.98,1,0.99
"SPO2120",1.2,1.1,1.1,0.98,1.2,1.1,1.1,1,1.1,1.1,1,1,1.1,0.98,1.1,1.1
"SPO2121",1,0.99,1,1,1,0.95,1,0.95,1.1,1,1,1,1.1,0.95,0.94,0.95
"SPO2122",1.1,1,1.2,0.69,0.97,1.1,1.3,1,1.1,1,1.1,0.91,1.1,1.1,1,1
"SPO2123",1.3,1,0.94,0.85,1.2,1,0.88,0.96,1,1,0.89,1.1,1.2,0.91,1,0.98
"SPO2124",0.96,0.78,1.1,1.1,0.93,1.1,0.98,0.94,1.1,0.95,1.2,0.86,1.3,0.79,1.2,0.95
"SPO2125",0.94,NA,0.97,0.73,0,1.5,0.87,0.71,1.1,1.7,0.9,0.94,0.98,1.5,0.9,0.9
"SPO2126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO2127",1.1,0.93,0.99,0.84,0,0.78,0.94,1.1,1,1,0.94,0.99,0.63,0.94,0.87,0.99
"SPO2128",0.86,0.91,0.74,1.1,0.87,0.93,0.72,1,0.88,1,0.88,1,0.93,1.1,0.79,0.95
"SPO2129",1.4,1.1,0.82,0.45,1.4,1.1,1.1,0,1.2,1.2,1,0,NA,NA,0.71,0.5
"SPO2130",1.1,1.1,1,0.94,1,1.1,1,1,1.1,1,1,0.97,1,1.1,1,0.96
"SPO2131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO2132",1,1.1,1,1.1,1,1,0.96,1,1.1,1,0.99,1.1,1,0.99,0.91,1.1
"SPO2133",1.3,1.2,1.1,1.1,0.95,1.1,1.1,1,1.1,1.2,1,1.1,1,1.1,1.1,0.89
"SPO2134",0.93,0.98,1.1,0.89,0.87,1.1,0.94,1,0.98,1,1,0.96,0.86,0.98,1,0.95
"SPO2135",NA,1.4,1.2,0.58,NA,1.5,1.2,0.98,NA,1.4,1.2,0.84,NA,1.1,0.91,0.84
"SPO2136",0.93,0.97,0.99,0.89,0.99,1.1,1,1.1,0.99,1,1,1,1,1,1,1
"SPO2137",0.96,0.97,1.1,1,0.7,0.59,1.2,0.83,1,0.75,1.1,1.1,0.95,0.83,0.74,0.71
"SPO2139",NA,1.1,0.8,1.2,NA,1,0.5,0.88,NA,1.1,1.2,1,NA,1.2,1,1.1
"SPO2140",1.2,1,1.1,0.94,1,1,1.1,0.99,1.1,0.96,1.1,1.1,1.1,0.94,1,1
"SPO2141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO2142",0.64,1,0.88,0.88,0.88,1.1,0.86,1.2,1.1,0.98,0.88,0.85,1,0.72,1,1.1
"SPO2143",0.8,0.93,0,0.98,0.78,1.3,0.67,0.67,0.88,0.82,1,1.1,0.92,0.97,0.97,1.1
"SPO2144",1.1,1.2,1,0.99,0.98,0.99,0.95,0.95,1,1.1,1,0.92,0.93,1,0.97,0.95
"SPO2145",0.23,0,0.044,0,0,0.53,0.62,0.14,0,0.38,0.13,0.24,0.53,0.17,0.49,0.64
"SPO2146",0,0,0.27,0,0.069,0.57,0.26,0,0,0,0.26,0,0,0,0.4,0.33
"SPO2147",0.96,1,1.1,1,0.95,0.96,0.99,1,0.94,0.89,0.96,0.9,0.95,0.87,0.97,0.9
"SPO2148",1.1,0.97,1,0.98,0.99,0.97,1.1,1.2,1,1,0.92,1.1,1,1.1,0.99,1.1
"SPO2149",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPO2150",0,0,0,0,0,0,0,0.44,0,0,0,0,0,0,0,0.18
"SPO2151",0,0,0,0,0,0,0,0.8,0,0,0,0,0,0.65,0,0
"SPO2152",0.79,0.7,0.97,0,0.77,0.69,1,0.87,0.89,0.79,0.77,0.67,0.65,0.79,0.83,0.87
"SPO2153",0.92,0.67,0.9,0.83,1.1,0.97,0.89,0.92,1,0.76,0.8,0.84,0.91,0.75,0.89,0.74
"SPO2154",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO2155",1.1,1.1,0.65,0.39,1.1,0.98,0.9,0.72,0.84,1.1,0.83,0.91,0.97,0.87,0.83,0.86
"SPO2156",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"SPO2157",0,0.43,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"SPO2158",1.1,0.99,1.1,0.92,1,0.95,0.98,1.1,1,0.94,0.98,0.95,1.2,0.94,1,1
"SPO2159",0.97,1.1,1.2,1.1,1.1,1.2,0.98,0.99,0.79,1.1,1,1,1,1.1,1.1,1
"SPO2160",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPO2161",1,1.2,1,1.1,0.98,1,0.99,1,0.99,1,0.98,0.95,1,1.1,1,1
"SPO2162",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA,NA,NA
"SPO2163",1.3,0.82,0.77,0.99,1.2,1,1,0,1.4,0.84,1.2,1,1.5,1,1.2,0.62
"SPO2164",1.2,0.97,1.1,1,1.1,1,0.97,0.96,1.1,0.96,0.97,0.89,1.1,0.9,1,1
"SPO2165",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO2166",1.1,1.2,1.1,1,1,1.2,1.1,1,1,1.1,1.1,1.1,1,1.1,1.1,0.99
"SPO2167",1,0.92,0.89,0.94,1,0.91,1.1,1,0.96,0.99,0.95,0.97,0.91,0.96,1,0.95
"SPO2168",0,0,0.46,0.39,0.68,0.52,0.7,0.65,0,0.58,0,0.49,0.49,0.72,0.19,0.56
"SPO2169",NA,0,0.79,0,NA,0,0.89,0.63,NA,0,0.49,0,NA,0.45,0,0
"SPO2170",0.96,0.98,1.2,0.94,1.1,0.94,0.86,1,1,1,0.97,1,0.89,0.58,0.94,0.76
"SPO2171",1.2,0.94,1,1.2,1.2,0.89,0.92,1.1,1.1,1,1,1.1,1.2,1,1.1,1.1
"SPO2173",0,0,NA,0,0,0.4,NA,0,0,0,NA,0,0,0.18,NA,0.86
"SPO2174",1.5,0.7,1,0,NA,1,0.82,0.99,1.3,1,1.1,0.82,1.3,1.1,0,0.99
"SPO2176",0.79,0.82,0.99,0.82,0.92,0.96,0.98,1.1,0.76,1,0.97,0.95,0.96,0.96,0.98,1
"SPO2177",1,0.7,0.85,1,0.88,0.83,1,1,1.1,0.81,0.9,1,1.3,1.1,0.91,1.1
"SPO2178",0.92,0.94,1,0.85,0.95,1.1,0.86,0.97,0.91,1,1,0.96,0.98,1.2,0.82,0.84
"SPO2179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO2180",1.2,1,1,1.3,1.1,1.1,1.1,1.1,0.97,1.1,1.1,1,1.1,0.99,1,1.1
"SPO2181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO2182",0.65,1,1.1,0.8,0.91,0.74,0.62,0.84,1,0.66,1,0.88,1.2,0.82,1.1,0.89
"SPO2183",1,1.1,0.74,0.61,1,0.99,0.85,0.74,1.2,1.1,0.86,0.96,1.2,1.2,0.95,1
"SPO2184",1.2,0.87,0.91,0.84,1.1,1,1.1,1,1.1,0.94,0.94,0.94,1,0.91,0.9,0.94
"SPO2185",0.82,1.1,1.1,1.1,0.85,0.99,0.99,1,1,0.99,1,1,0.95,0.81,0.94,1
"SPO2186",1.1,0.97,1.1,0.98,1.1,1.1,1,0.97,1.1,1,1,1,1,1.1,1,0.91
"SPO2187",1.1,1,1.1,1.1,1.2,0.99,1.1,0.93,1.1,1,1,0.9,1.1,0.99,1,0.93
"SPO2188",0.83,0.73,1.1,0.8,0.58,0.97,1.3,0.92,0.88,0.89,0.93,0.83,0.83,0.62,1,0.74
"SPO2189",0.97,0.96,0.86,0.86,0.96,0.97,1,0.98,1,0.85,0.97,0.9,0.99,0.79,1,0.96
"SPO2190",NA,NA,NA,NA,NA,0.91,NA,1.3,NA,1,NA,NA,NA,1.1,NA,NA
"SPO2191",1.1,0.9,0.88,1,1,0.97,0.82,0.85,0.98,0.97,0.91,0.97,0.99,0.95,0.89,0.92
"SPO2192",1,1.3,1,0.77,1.3,1.1,0.8,0.87,1.2,1,0.94,0.8,1.2,0.88,1.1,0.89
"SPO2192a",0.73,1.1,0.92,0.91,1,0.99,0.89,0.96,1,0.95,0.89,0.96,0.92,0.88,1.1,0.91
"SPO2193",1.1,0.96,1.1,1.1,0.99,0.92,1,1.1,1,0.95,1,1.1,0.99,0.97,1,1
"SPO2194",NA,0.97,0.96,0.59,NA,0.83,0.95,0.45,NA,0.95,0.77,0.93,NA,0.94,0.95,0.82
"SPO2195",1.2,1,1,0.82,0.95,0.91,0.78,1.1,1,0.82,0.92,1.1,0.91,0.83,0.79,1.1
"SPO2196",1.5,1.1,1.2,1.1,1.3,1.1,1.1,1.1,1.3,1.2,0.78,0.93,1.3,1.2,1,1
"SPO2197",1.1,0.97,1.1,1.1,0.99,0.89,1,0.99,1.1,0.91,0.97,0.94,0.99,0.91,0.89,1
"SPO2198",0,0.35,0,0.4,0,0.4,0.64,0.11,0.18,0,0.59,0.54,0.51,0.59,0.86,0.89
"SPO2200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO2201",NA,0.87,1.1,1.1,NA,NA,1.2,1,NA,NA,NA,0,NA,NA,0.94,0
"SPO2202",0.95,0.92,0.99,0.94,0.99,1,0.87,0.88,1.1,0.94,1,1,1,0.95,0.99,0.98
"SPO2203",1,1.1,1.1,1.1,1,1.1,0.95,1,1,1,0.99,0.99,1.1,1,1,1
"SPO2204",NA,0,0.91,1.4,NA,1,0.28,1.5,NA,1.1,0.82,1.4,NA,0,0,NA
"SPO2205",0.75,0.91,1,0.77,1,0.9,0.94,0.91,1.1,0.82,0.86,0.9,1.1,0.9,0.95,0.96
"SPO2206",0.96,0.96,1,1,0,0.78,0.66,1.2,1.1,1,0.92,0.97,1.2,0.88,0.94,0.88
"SPO2207",0.99,0.87,0.95,0.76,0.9,1,0.72,0.88,1,0.58,0.68,1.2,0.93,0.82,0.83,1
"SPO2208",1.1,1,0.95,1.1,1,0.93,1,1,1,0.94,0.96,1,0.88,1,0.94,0.97
"SPO2209",0.97,1,1.1,1,1,1.1,1.1,0.98,0.96,1.1,0.99,0.96,1,1.1,0.91,0.97
"SPO2210",1,1,1,1,0.98,1,0.98,0.99,0.97,1,0.98,1,0.98,0.99,0.98,0.99
"SPO2211",1,1,1,0.99,1.1,0.97,1.1,1,1,1,1,0.98,1,1.1,0.96,1
"SPO2212",1.2,1,0.94,0.94,1,0.87,0.81,1.1,1,0.98,0.94,1.1,1.1,0.95,0.85,1.1
"SPO2213",1.1,0.99,1.1,1.1,1,0.97,1.2,1,0.97,0.94,1.1,1.1,0.92,1.1,1.1,1.1
"SPO2213a",0.86,1,1.1,0.99,0.75,1.1,1,1.1,0.86,1,0.94,0.92,1,0.94,0.95,0.93
"SPO2214",1.1,0.95,1,0.96,1,0.93,1,1,1.1,0.95,1,1,1.1,0.96,0.89,0.98
"SPO2215",1.2,0.72,0.92,0.87,1.3,1,1,0.82,0.92,0.86,1,0.94,0.93,0.83,0.76,1
"SPO2216",NA,NA,1.3,NA,NA,NA,NA,1.9,NA,NA,NA,1.7,NA,NA,NA,NA
"SPO2218",1,0.98,1,0.97,1.1,0.93,1,1,0.96,1,0.99,0.98,1.1,1,1.1,1.1
"SPO2219",1.3,0.76,1.1,0.76,1.2,0.83,1.2,1.1,1,0.82,0.97,1,0.92,0.72,0.97,1.1
"SPO2220",0.92,0.91,1,0.97,0.97,0.96,1,0.88,0.88,0.92,0.91,0.98,0.85,0.99,0.96,0.96
"SPO2221",0.94,1,0.9,0.94,0.99,1,0.83,0.82,1.1,1.1,0.89,0.9,0.99,1,0.84,0.84
"SPO2222",0,0.71,0.7,0.63,0.93,0.32,0.88,0.78,0.79,0.84,0.84,0.91,0.8,0.85,0.93,0.57
"SPO2223",0.86,0.55,1,0.66,0.99,1,1,0.97,0.91,1.1,1.1,0.83,1.1,0.95,0.6,0.91
"SPO2224",1,1,1,0.99,1.1,1,0.94,1,1,0.98,0.96,1.1,1.2,1.1,1,0.97
"SPO2225",1,1.2,0.98,1,1,1.1,0.74,0.91,0.99,1.1,0.95,0.9,0.92,1.1,0.96,0.91
"SPO2226",0.77,1.1,0.96,0.98,0.89,1.1,0.89,0.96,0.9,1.1,0.92,1,0.9,1,0.9,0.96
"SPO2227",0.86,0.66,0.87,0.92,0.93,0.89,0.94,0.85,0.86,0.77,0.85,0.83,0.58,1.1,0.9,0.99
"SPO2228",1.2,1.3,1.2,1.1,1.1,1.2,1.1,1,1.2,1.2,1.1,1.1,1.2,0.92,1,1
