"spo","w_1_rpomAlone","w_2_rpomAlone","w_3_rpomAlone","w_4_rpomAlone","w_1_vib","w_2_vib","w_3_vib","w_4_vib","w_1_mari","w_2_mari","w_3_mari","w_4_mari","w_1_CC","w_2_CC","w_3_CC","w_4_CC"
"SPO1158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO1159",0.7,0.7,1.1,1.1,0,0.82,1.1,1.1,0.89,1.1,0.81,0.92,0.85,0.77,0.79,1
"SPO1160",0.96,1,0.99,0.79,0.94,0.96,1,0.95,0.9,0.96,0.97,0.95,0.85,0.86,1,0.93
"SPO1161",1,0.94,1,0.95,1,0.93,0.95,0.83,1,1.1,0.99,0.99,1,1,0.98,0.94
"SPO1162",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO1163",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO1164",0.95,0.73,1.2,1.3,1.2,1.1,1.1,0.85,0.85,0.9,1,1.1,0.68,0.7,1.1,1.1
"SPO1165",0.98,1.2,1,0.58,0.91,1.2,1.1,0.69,1.1,1.1,0.88,0.96,1,0.94,0.98,0.87
"SPO1166",0.98,0.94,0.96,1.2,0.9,0.94,1.1,1.1,0.98,0.95,1,1.1,1,0.96,0.91,1.1
"SPO1168",0.96,1.2,0,NA,0,1.3,1.3,1.4,0,1.1,0.94,NA,0,1.3,0.96,1.4
"SPO1171",1,1.1,1.1,1.1,0.97,1,0.94,1,0.95,1,0.97,0.97,0.97,0.98,1,1
"SPO1172",1.2,1.2,1.3,1.1,1,1.2,1.1,1,0.93,1,1,1.1,0.96,1.1,1.1,1.1
"SPO1173",1.2,0.9,1.1,1.1,1,0.74,0.95,1.2,1.1,0.8,0.94,1.2,0.93,0.74,0.95,1.1
"SPO1174",0.99,1.1,0.91,0.85,0.99,0.99,0.92,0.94,0.87,1.1,0.94,0.92,0.91,1.1,0.8,1
"SPO1175",0.8,0.93,1.2,1,0.92,0.99,1,0.95,0.93,0.92,1.1,0.98,0.93,0.98,1.1,0.93
"SPO1176",1,1,0.95,1,1,0.98,0.95,1.1,1,0.9,0.92,0.91,1,1,0.95,0.99
"SPO1177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO1178",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO1179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO1180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO1181",NA,0.94,1.3,NA,NA,1,1.1,NA,NA,0.92,NA,NA,NA,NA,NA,NA
"SPO1182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO1183",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO1184",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO1185",1,1,1,1,0.99,1,1,1,1,1,0.99,0.99,1,1,0.98,1
"SPO1186",0.8,0.84,0.78,0.77,0.83,0.82,0.69,0.7,0.87,0.83,0.82,0.82,0.81,0.76,0.75,0.7
"SPO1187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPO1188",1.1,1,0.83,1,1,1,0.86,1,1,0.92,0.92,1.1,0.85,1,0.94,0.99
"SPO1189",1,1,0.97,1,1.2,0.97,0.99,1.1,0.91,1.2,1.2,1.3,1.1,1.2,1.3,1.2
"SPO1190",0.94,NA,0.59,1.1,1.1,NA,0.9,0.69,1.1,NA,1.1,0.68,0,NA,0.91,0.96
"SPO1191",0.98,NA,0.74,0.51,0.84,NA,0,1.2,0.67,NA,0.7,1.1,0.56,NA,0.55,1.2
