mean,lwrCL,uprCL,spo,naCount
0.967,0.893,1.067,SPO3519,0
0.914,0.856,0.975,SPO3520,0
0.842,0.737,0.949,SPO3521,0
0.891,0.828,0.951,SPO3522,0
0.896,0.83,0.956,SPO3523,0
0.859,0.819,0.895,SPO3524,0
0.843,0.779,0.908,SPO3525,0
0.894,0.856,0.933,SPO3526,0
1.022,0.987,1.056,SPO3527,0
1.06,0.942,1.173,SPO3528,0
1.002,0.947,1.056,SPO3529,0
1.016,0.992,1.045,SPO3530,0
0.93,0.856,1.004,SPO3531,0
0.983,0.953,1.012,SPO3532,0
0.903,0.853,0.952,SPO3533,0
0.775,0.554,0.913,SPO3534,13
0.815,0.623,0.983,SPO3535,0
0.915,0.792,1.026,SPO3536,0
0.997,0.961,1.038,SPO3537,0
0.904,0.845,0.955,SPO3538,0
0.204,0.064,0.303,SPO3539,0
1.023,1.001,1.04,SPO3540,0
1.015,0.968,1.057,SPO3541,0
0.98,0.944,1.025,SPO3542,0
0.925,0.85,1.009,SPO3543,0
0.934,0.891,0.977,SPO3544,0
0.924,0.897,0.95,SPO3545,0
0.975,0.928,1.019,SPO3546,0
1.025,0.953,1.085,SPO3547,0
1.066,1.017,1.129,SPO3548,0
0.982,0.949,1.017,SPO3549,0
1.02,0.904,1.139,SPO3550,0
0.906,0.858,0.955,SPO3551,0
1.014,0.98,1.048,SPO3552,0
1.001,0.935,1.051,SPO3553,0
1.068,1.024,1.116,SPO3554,0
1.015,0.982,1.039,SPO3555,0
NA,NA,NA,SPO3556,10000
0.972,0.895,1.034,SPO3557,0
0.965,0.93,1.002,SPO3558,0
0.941,0.915,0.973,SPO3559,0
0.964,0.884,1.036,SPO3560,0
0.68,0.639,0.719,SPO3561,0
0.904,0.85,0.956,SPO3562,0
1.024,0.974,1.065,SPO3563,0
0.971,0.926,1.021,SPO3564,0
1.023,0.928,1.117,SPO3565,0
0.953,0.865,1.023,SPO3566,0
1.035,0.985,1.097,SPO3567,0
1.047,1.012,1.091,SPO3568,0
1.019,0.971,1.066,SPO3569,0
0.982,0.94,1.019,SPO3570,0
0.994,0.968,1.019,SPO3571,0
0.928,0.858,1.006,SPO3572,0
0.962,0.907,1.018,SPO3573,0
0.955,0.868,1.037,SPO3574,0
0.926,0.817,1.034,SPO3575,0
1.06,1.034,1.083,SPO3576,0
0.935,0.869,1,SPO3577,0
0.882,0.83,0.94,SPO3578,0
1.066,1.036,1.094,SPO3579,0
0.963,0.93,1,SPO3580,0
1.084,1.024,1.149,SPO3581,0
1.049,1.021,1.078,SPO3582,0
0.943,0.893,0.994,SPO3583,0
1.01,0.94,1.072,SPO3584,0
1.004,0.974,1.038,SPO3585,0
0.982,0.958,1.005,SPO3586,0
0.995,0.971,1.016,SPO3587,0
0.982,0.888,1.058,SPO3588,0
0.955,0.905,0.996,SPO3589,0
0.902,0.86,0.95,SPO3590,0
0.942,0.911,0.972,SPO3591,0
0.96,0.91,1.011,SPO3592,0
1.015,0.984,1.042,SPO3593,0
0.926,0.839,1.019,SPO3594,0
0.975,0.942,1.01,SPO3595,0
0.951,0.9,1.015,SPO3596,0
0.98,0.948,1.006,SPO3597,0
0.716,0.495,0.919,SPO3598,600
NA,NA,NA,SPO3599,10000
1.031,0.995,1.062,SPO3600,0
1.011,0.943,1.08,SPO3601,0
0.953,0.906,0.994,SPO3602,0
0.985,0.915,1.045,SPO3603,0
1.008,0.972,1.051,SPO3604,0
1.011,0.989,1.028,SPO3605,0
1.003,0.923,1.082,SPO3606,0
1.054,1.038,1.069,SPO3607,0
0.95,0.909,0.998,SPO3608,0
1.157,1.048,1.274,SPO3609,0
1.019,0.977,1.059,SPO3610,0
0.994,0.953,1.037,SPO3611,0
0.971,0.913,1.019,SPO3612,0
1.054,1.015,1.101,SPO3613,0
0.992,0.927,1.063,SPO3614,0
0.957,0.919,0.995,SPO3615,0
NA,NA,NA,SPO3616,10000
1.039,0.998,1.081,SPO3617,0
0.996,0.918,1.091,SPO3618,0
0.993,0.962,1.024,SPO3619,0
1.01,0.953,1.055,SPO3620,0
0.473,0,0.998,SPO3621,3151
0.85,0.745,0.938,SPO3622,0
0.99,0.953,1.028,SPO3623,0
1.049,1.003,1.098,SPO3625,0
0.867,0.726,1.018,SPO3626,0
1.047,1.012,1.081,SPO3627,0
1.015,0.986,1.041,SPO3628,0
1.031,0.992,1.075,SPO3629,0
NA,NA,NA,SPO3630,10000
1.043,1.02,1.065,SPO3631,0
