"spo","w_1","w_2","w_3","w_4"
"SPO0136",0.95,1.03,0.96,0.99
"SPO0137",1.02,0.98,0.97,1
"SPO0138",0.94,0.96,0.97,0.96
"SPO0139",1,0.98,0.95,1.03
"SPO0140",0.92,1,0.92,0.97
"SPO0141",0.98,0.85,0.86,0.93
"SPO0142",1.01,1.02,1,1.01
"SPO0143",0.89,0.96,1,0.91
"SPO0144",NA,NA,NA,NA
"SPO0146",1.04,1,1.06,1.02
"SPO0147",0,0.28,0.82,0.77
"SPO0149",NA,NA,NA,NA
"SPO0150",NA,NA,NA,NA
"SPO0151",0.98,0.95,1.01,0.94
"SPO0152",0.99,0.99,0.98,1
"SPO0153",0.98,0.86,0.85,0.79
"SPO0154",1.09,0.98,1,1.04
"SPO0155",NA,NA,NA,NA
"SPO0156",0.99,1.02,1.04,1
"SPO0157",0.98,1,1,1.03
"SPO0160",1.05,1.03,1.02,1.03
"SPO0161",0.99,1,0.96,0.98
"SPO0162",1.04,0.94,0.94,0.98
"SPO0163",0.98,0.96,0.97,0.97
"SPO0164",1.01,0.95,0.98,0.98
"SPO0165",0.88,0.99,0.92,1.03
"SPO0166",1.04,0.94,0.96,0.94
"SPO0167",1.05,0.99,1,0.96
"SPO0168",1.11,1.05,0.98,1
"SPO0169",0.93,0.89,0.94,0.98
"SPO0170",1.04,0.97,0.94,0.93
"SPO0171",1.03,0.86,0.99,0.98
"SPO0172",0.98,0.92,0.88,1.02
"SPO0173",0.97,0.96,0.76,1.12
"SPO0174",0.93,1.03,0.94,0.82
"SPO0175",0.88,0.98,0.95,0.9
"SPO0176",1.03,1.06,0.91,0.84
"SPO0177",1.02,0.98,0.95,0.95
"SPO0178",0.82,1.07,0.97,0.95
"SPO0179",0.82,1.04,0.84,0.92
"SPO0180",0.94,0.9,0.91,0.64
"SPO0181",0.93,0.92,0.79,1
"SPO0182",0.96,0.96,0.93,0.93
"SPO0183",1.01,0.96,1.01,0.98
"SPO0184",1.05,1.03,1.03,1.06
"SPO0185",1.03,1.03,1.03,1.03
"SPO0186",1.04,1.02,1.06,1.04
"SPO0187",0.94,0.88,1,1.06
"SPO0188",1.01,0.97,0.96,0.99
"SPO0189",0.9,0.92,0.99,1.03
"SPO0190",0.98,0.99,1,1
"SPO0191",0.95,0.99,1,0.98
"SPO0192",1.01,1.02,1.01,0.98
"SPO0193",0.96,0.9,0.9,0.96
"SPO0194",0.99,0.94,0.99,1
"SPO0195",1.02,1.03,0.92,1.01
"SPO0196",1.09,0.96,0.97,1
"SPO0197",0.97,1.05,1.02,1.02
"SPO0198",1.08,0.96,1.01,0.96
"SPO0199",0.97,0.97,1.02,1
"SPO0200",0.91,0.94,0.97,0.96
"SPO0201",0.87,1.07,0.89,1.03
"SPO0202",1.07,0.98,0.98,0.98
"SPO0203",1.03,0.98,0.98,0.98
"SPO0204",0.93,1.01,0.95,0.95
"SPO0205",0.97,1.01,1,0.98
"SPO0206",0.95,1.01,1.02,0.92
"SPO0207",1.04,0.97,0.98,1.01
"SPO0209",1.06,0.92,0.97,0.99
"SPO0210",0,0.12,0,0.09
"SPO0211",0.95,0.97,0.98,1
"SPO0212",1.04,0.99,0.97,0.98
"SPO0213",0.97,1.04,1,0.96
"SPO0214",1.01,0.98,0.99,0.96
"SPO0215",0.33,0.35,0.39,0.1
"SPO0216",0.22,0.16,0.13,0.09
"SPO0217",0.74,0.65,1.01,0
"SPO0218",0.99,1.01,0.95,0.97
"SPO0219",1.03,1,1.04,1.02
"SPO0220",0.99,1,1.01,1.01
"SPO0221",1.13,0.99,0.93,1.04
"SPO0222",1.03,0.98,1.04,1.03
"SPO0223",1.02,1,0.93,0.93
"SPO0224",0.94,0.92,0.98,0.99
"SPO0225",0.96,0.93,1.04,0.99
"SPO0226",1,0.98,1.03,0.98
"SPO0227",1.03,1.03,1.05,1.05
"SPO0228",1,1.02,1.05,1.01
"SPO0230",1.03,1.11,0.95,0.95
"SPO0231",1.03,1.02,1.05,1.01
"SPO0232",0.99,0.99,0.99,0.99
"SPO0233",1.03,0.88,1.09,0.88
"SPO0234",1.03,1.06,1.06,1.08
"SPO0235",1.07,1.04,1.04,1.04
"SPO0236",1.04,1,0.99,0.99
"SPO0237",0.99,1.05,1.03,1.07
"SPO0238",0.96,1,0.96,0.97
"SPO0239",1.05,1,1,1.03
"SPO0240",0.97,0.99,1,1.02
"SPO0241",1.02,0.9,1.02,0.99
"SPO0247",NA,NA,NA,NA
"SPO0248",1,1.01,0.96,0.99
"SPO0249",1.09,1.23,1,1.05
"SPO0250",0.91,0.99,1.01,0.99
"SPO0251",NA,NA,NA,NA
"SPO0252",0,0,0.6,0.86
"SPO0253",1.02,1.07,1.07,1.04
"SPO0254",1.03,1.06,1.04,1.08
"SPO0255",0.95,0.97,1.03,0.98
"SPO0256",1.15,1,1.04,1.07
"SPO0257",0.85,1.01,0.98,0.89
"SPO0258",1.02,1,1.04,1
"SPO0259",0.84,0.81,1.06,0.91
"SPO0260",1.02,0.97,1.02,0.93
"SPO0261",0.99,0.99,1,0.98
"SPO0263",0.95,0.96,0.98,0.97
"SPO0264",1.01,0.98,1,1.04
"SPO0265",0.96,0.97,1.04,0.98
"SPO0266",1.07,0.97,1,0.88
"SPO0267",NA,NA,NA,NA
"SPO0268",0.99,1.08,0.97,1.01
"SPO0269",0.99,1.05,0.93,0.99
"SPO0270",1.02,1.11,1.12,1.01
"SPO0271",NA,NA,NA,NA
"SPO0272",NA,NA,NA,NA
"SPO0273",NA,NA,NA,NA
