mean,lwrCL,uprCL,stdev,lwrCL_adj,uprCL_adj,spo,naCount
0.963,0.923,1.002,0.021,0.887,1.033,SPO0069,0
0.98,0.935,1.022,0.022,0.898,1.057,SPO0070,0
0.972,0.924,1.02,0.025,0.882,1.057,SPO0071,0
0.955,0.773,1.134,0.092,0.691,1.218,SPO0072,0
NA,NA,NA,NA,NA,NA,SPO0074,10000
1.059,1.032,1.089,0.015,1.019,1.116,SPO0075,0
0.902,0.861,0.942,0.021,0.837,0.97,SPO0077,0
1.028,1.009,1.05,0.01,0.995,1.067,SPO0078,0
NA,NA,NA,NA,NA,NA,SPO0079,10000
NA,NA,NA,NA,NA,NA,SPO0080,10000
NA,NA,NA,NA,NA,NA,SPO0081,10000
NA,NA,NA,NA,NA,NA,SPO0082,10000
1.029,1.01,1.045,0.009,1,1.055,SPO0084,0
0.92,0.853,0.987,0.035,0.784,1.042,SPO0085,0
1.036,1.019,1.057,0.01,1.011,1.072,SPO0086,0
0.985,0.965,1.004,0.01,0.949,1.015,SPO0087,0
1.005,0.991,1.021,0.008,0.984,1.035,SPO0088,0
1.007,0.99,1.021,0.008,0.978,1.031,SPO0089,0
0.984,0.959,1.012,0.014,0.944,1.044,SPO0090,0
1.044,1.017,1.065,0.012,0.997,1.077,SPO0091,0
0.928,0.893,0.969,0.02,0.869,0.993,SPO0092,0
1.039,1.005,1.074,0.018,0.98,1.105,SPO0093,0
0.97,0.939,1,0.016,0.915,1.024,SPO0094,0
0.958,0.929,0.992,0.017,0.917,1.014,SPO0095,0
0.969,0.916,1.019,0.027,0.878,1.062,SPO0096,0
0.98,0.961,1,0.01,0.948,1.014,SPO0097,0
0.937,0.912,0.963,0.013,0.889,0.976,SPO0098,0
0.968,0.94,0.999,0.015,0.929,1.023,SPO0099,0
1,0.945,1.057,0.029,0.902,1.104,SPO0100,0
0.994,0.977,1.007,0.008,0.958,1.012,SPO0101,0
1.001,0.978,1.024,0.012,0.968,1.04,SPO0102,0
1.05,0.994,1.099,0.027,0.95,1.123,SPO0103,0
1.001,0.987,1.015,0.007,0.98,1.022,SPO0104,0
0.992,0.964,1.023,0.015,0.951,1.044,SPO0105,0
1.015,0.995,1.036,0.011,0.984,1.052,SPO0106,0
1.01,0.987,1.037,0.013,0.974,1.06,SPO0107,0
0.995,0.955,1.032,0.02,0.928,1.067,SPO0108,0
1.003,0.984,1.024,0.01,0.972,1.036,SPO0109,0
