"spo","meanW","semW"
"SPO0178",0.962,0.019
"SPO0179",0.853,0.047
"SPO0180",0.987,0.051
"SPO0181",1.013,0.056
"SPO0182",0.879,0.051
"SPO0183",0.975,0.031
"SPO0184",1.016,0.008
"SPO0185",0.977,0.025
"SPO0186",1.042,0.016
"SPO0187",0.943,0.061
"SPO0188",0.962,0.01
"SPO0189",0.968,0.033
"SPO0190",0.973,0.017
"SPO0191",0.947,0.039
"SPO0192",1.004,0.011
"SPO0193",0.977,0.027
"SPO0194",0.984,0.015
"SPO0195",0.967,0.014
"SPO0196",0.984,0.02
"SPO0197",0.954,0.022
"SPO0198",0.987,0.04
"SPO0199",0.998,0.024
"SPO0200",0.958,0.055
"SPO0201",0.906,0.074
"SPO0202",1.008,0.028
"SPO0203",1.001,0.024
"SPO0204",0.984,0.021
"SPO0205",1.016,0.019
"SPO0206",0.939,0.038
"SPO0207",0.99,0.021
"SPO0209",0.997,0.017
"SPO0210",0.259,0.047
"SPO0211",1.007,0.016
"SPO0212",1.022,0.022
"SPO0213",0.969,0.036
"SPO0214",0.991,0.018
"SPO0215",0.331,0.041
"SPO0216",0.267,0.065
"SPO0217",0.752,0.257
"SPO0218",0.978,0.023
"SPO0219",1.057,0.017
"SPO0220",0.989,0.009
"SPO0221",1.05,0.024
"SPO0222",1.018,0.016
"SPO0223",1.007,0.013
"SPO0224",0.959,0.015
"SPO0225",0.979,0.037
"SPO0226",0.942,0.031
"SPO0227",1.023,0.012
"SPO0228",1.025,0.025
"SPO0230",1.027,0.02
"SPO0231",1.038,0.018
"SPO0232",0.991,0.011
"SPO0233",0.949,0.078
"SPO0234",1.053,0.013
"SPO0235",1.044,0.011
"SPO0236",0.976,0.007
"SPO0237",1.022,0.007
"SPO0238",1,0.011
"SPO0239",1.014,0.01
"SPO0240",1.03,0.011
"SPO0241",0.985,0.017
"SPO0248",0.953,0.03
"SPO0249",1.227,0.031
"SPO0250",1.014,0.026
"SPO0252",0.352,0.244
"SPO0253",1.022,0.004
"SPO0254",1.043,0.006
"SPO0255",0.937,0.037
"SPO0256",1.012,0.052
"SPO0257",0.96,0.025
"SPO0258",1.001,0.003
"SPO0259",0.835,0.044
"SPO0260",1.028,0.013
"SPO0261",0.976,0.007
"SPO0263",0.967,0.012
"SPO0264",0.992,0.024
"SPO0265",0.927,0.037
"SPO0266",0.98,0.017
"SPO0268",1.02,0.017
"SPO0269",0.968,0.009
"SPO0270",1.034,0.061
"SPO0274",0.907,0.085
"SPO0275",1.014,0.033
"SPO0276",0.931,0.009
"SPO0277",0.973,0.014
"SPO0280",0.96,0.166
"SPO0281",0.976,0.042
"SPO0282",0.937,0.04
"SPO0284",0.658,0.092
"SPO0285",0.996,0.029
"SPO0286",0.959,0.055
"SPO0287",0.407,0.148
"SPO0289",0.884,0.025
"SPO0290",0.974,0.019
"SPO0291",0.812,0.009
"SPO0292",0.992,0.018
"SPO0293",0.983,0.011
"SPO0294",0.905,0.073
"SPO0295",1.004,0.018
"SPO0296",1.021,0.003
"SPO0297",0.739,0.14
"SPO0298",0.964,0.01
"SPO0299",1.013,0.015
"SPO0300",1.006,0.02
"SPO0301",0.985,0.012
"SPO0302",0.923,0.048
"SPO0303",1.051,0.037
"SPO0304",1.062,0.03
"SPO0305",0.981,0.048
"SPO0306",0.963,0.026
"SPO0307",0.99,0.042
"SPO0308",0.963,0.038
"SPO0309",0.933,0.003
"SPO0310",0.985,0.023
"SPO0311",1.073,0.008
"SPO0312",1.008,0.01
"SPO0313",0.986,0.049
"SPO0314",1.004,0.019
"SPO0315",0.872,0.09
"SPO0317",0.943,0.023
"SPO0320",0.954,0.041
"SPO0321",1.035,0.043
"SPO0322",1.02,0.1
"SPO0323",0.946,0.023
"SPO0324",0.98,0.015
"SPO0325",0.964,0.068
"SPO0326",1.035,0.012
"SPO0327",0.926,0.027
"SPO0328",0.947,0.021
"SPO0329",0.955,0.071
"SPO0330",0.94,0.02
"SPO0331",0.924,0.05
"SPO0332",0,0
"SPO0333",1.101,0.041
"SPO0334",0.505,0.024
"SPO0335",0.981,0.028
"SPO0336",0.876,0.064
"SPO0337",1.026,0.011
"SPO0338",0.998,0.02
"SPO0339",0.988,0.022
"SPO0342",0.968,0.039
"SPO0343",1.024,0.205
"SPO0344a",0.899,0.043
"SPO0345",0.732,0.049
"SPO0346a",0.82,0.028
"SPO0347",0,NA
"SPO0348",0.979,0.025
"SPO0349",0.553,0.034
"SPO0350",1.103,0.066
"SPO0351",0.959,0.068
"SPO0352",1,0.04
"SPO0353",1.05,0.032
"SPO0354",0.982,0.005
"SPO0355",0.882,0.04
"SPO0356",1.004,0.014
"SPO0357",0.965,0.005
"SPO0360a",0.474,0.237
"SPO0362",1.028,0.004
"SPO0363",1.012,0.024
"SPO0364",0.994,0.008
"SPO0365",0.99,0.018
