"spo","w_1","w_2","w_3","w_4"
"SPO0125",0.9,1,1.03,0.97
"SPO0126",0.99,1.06,1.06,1.07
"SPO0127",1.17,0.82,0.85,1.16
"SPO0128",1.05,1.03,0.99,0.97
"SPO0129",1.08,1.06,1.02,1
"SPO0130",0.92,0.97,0.84,0.89
"SPO0131",1.1,1.06,1.02,1.09
"SPO0132",0.96,0.96,0.96,0.95
"SPO0133",0.98,1.01,1,1.02
"SPO0134",1.21,1.05,1.07,0.94
"SPO0135",0.94,0.97,0.96,0.99
"SPO0136",0.94,1.04,1.02,1.03
"SPO0137",0.99,1.01,1.03,0.97
"SPO0138",0.95,1.02,1.01,0.94
"SPO0139",0.99,0.98,0.92,0.98
"SPO0140",0.95,1.07,0.95,0.89
"SPO0141",0.98,0.92,0.89,1.06
"SPO0142",0.99,0.98,1.03,0.99
"SPO0143",0.95,0.9,0.95,0.95
"SPO0144",NA,NA,NA,NA
"SPO0146",1.01,1.04,1.06,1
"SPO0147",0.86,0.89,0,0.63
"SPO0149",NA,NA,NA,NA
"SPO0150",NA,NA,NA,NA
"SPO0151",0.94,0.97,0.96,0.96
"SPO0152",0.99,0.97,0.99,0.99
"SPO0153",0.86,0.83,0.9,0.9
"SPO0154",1.02,1,1.01,1
"SPO0155",NA,NA,NA,NA
"SPO0156",1,1.03,1.03,0.99
"SPO0157",1,1.01,0.98,1.04
"SPO0160",1.06,1.03,1.01,1.03
"SPO0161",1.01,0.99,0.99,0.97
"SPO0162",0.86,0.98,0.92,1.06
"SPO0163",0.98,0.96,1.08,0.96
"SPO0164",1,0.83,0.99,0.98
"SPO0165",0.99,1.02,1.02,0.97
"SPO0166",0.97,0.98,0.94,0.95
"SPO0167",1.08,1.03,0.99,0.89
"SPO0168",1.09,0.96,1.02,1.02
"SPO0169",0.88,0.88,0.88,1.05
"SPO0170",1.09,0.97,0.98,1.01
"SPO0171",1.07,0.96,1.02,1.15
"SPO0172",1.05,0.96,0.98,0.9
"SPO0173",0.85,0.99,0.9,1.08
"SPO0174",0.9,0.9,1.15,0.81
"SPO0175",0.86,1.07,1.02,0.9
"SPO0176",0.95,1.06,1.01,0.93
"SPO0177",1,1.06,0.95,0.99
"SPO0178",0.89,1,0.91,0.89
"SPO0179",0.88,1.05,0.72,0.97
"SPO0180",0.82,0.67,0.8,0.96
"SPO0181",1.07,0.88,0.87,1.09
"SPO0182",0.84,0.89,1.03,0.93
"SPO0183",0.96,0.91,1.03,0.88
"SPO0184",1.06,1.01,1.02,1.03
"SPO0185",1.05,0.99,1,0.97
"SPO0186",1.02,1.06,1.06,1.05
"SPO0187",1.04,0.67,1.01,0.85
"SPO0188",1.02,1,0.95,0.97
"SPO0189",0.98,0.97,0.98,1.04
"SPO0190",0.97,1,1.07,0.99
"SPO0191",0.87,0.86,0.99,1.01
"SPO0192",1.06,1.05,1.02,0.96
"SPO0193",0.96,0.91,0.99,1
"SPO0194",0.92,1,1.05,1.03
"SPO0195",1,1.03,0.98,0.94
"SPO0196",1.03,0.95,1,0.93
"SPO0197",0.96,0.98,0.99,0.98
"SPO0198",0.93,0.95,0.95,1.02
"SPO0199",0.97,0.99,1,0.99
"SPO0200",0.97,0.95,0.96,1.05
"SPO0201",0.88,1.18,0.99,0.82
"SPO0202",1.15,0.96,0.99,0.89
"SPO0203",0.99,0.96,1.02,0.96
"SPO0204",0.94,1,0.93,0.93
"SPO0205",0.99,1.01,1.04,1.04
"SPO0206",0.93,0.98,0.95,0.97
"SPO0207",1.03,0.95,0.99,0.98
"SPO0209",0.94,0.99,0.97,0.91
"SPO0210",0.36,0,0,0.23
"SPO0211",0.97,1.02,0.96,1.02
"SPO0212",0.99,0.95,0.89,0.98
"SPO0213",0.95,0.96,0.97,0.99
"SPO0214",0.97,0.97,0.98,0.99
"SPO0215",0.43,0.38,0.36,0.49
"SPO0216",0.08,0.32,0.07,0.13
"SPO0217",1.05,0.81,1.11,0.76
"SPO0218",0.96,1,0.97,0.98
"SPO0219",1.07,1.05,1.1,1.05
"SPO0220",1.04,1,1,1.06
"SPO0221",1.25,0.98,1.02,1.07
"SPO0222",1.03,1.01,1.01,1.06
"SPO0223",1,1,0.96,0.98
"SPO0224",0.9,0.95,0.98,1.05
"SPO0225",0.97,0.93,1.07,0.99
"SPO0226",1,1.04,0.96,0.95
"SPO0227",1.01,1.01,1.02,1.03
"SPO0228",0.93,1.04,1.08,1.03
"SPO0230",0.98,1.02,1.05,1.01
"SPO0231",1.05,1.02,1.03,1.02
"SPO0232",1.01,1.03,1,1.01
"SPO0233",1.01,0.88,1.02,1
"SPO0234",1.01,1.08,1.06,1.06
"SPO0235",1.07,1.04,1.02,1.03
