"spo","meanW","semW"
"SPO0406",1.058,0.04
"SPO0407",0.974,0.021
"SPO0409",0.928,0.043
"SPO0410",0.873,0.007
"SPO0411",1.031,0.044
"SPO0412",0.863,0.088
"SPO0413",0.978,0.028
"SPO0414",1.046,0.017
"SPO0415",0.915,0.024
"SPO0417",1.048,0.093
"SPO0419",0.94,NA
"SPO0421",0.939,0.047
"SPO0422",0.584,0.024
"SPO0423",1.009,0.045
"SPO0424",0.997,0.029
"SPO0425",1.008,0.003
"SPO0427",1.011,0.03
"SPO0428",0.979,0.019
"SPO0429",0.97,0.029
"SPO0431",0.954,0.036
"SPO0432",0.916,0.043
"SPO0433",0.983,0.008
"SPO0434",0.977,0.044
"SPO0435",1.051,0.033
"SPO0436",0.997,0.017
"SPO0437",1.055,0.031
"SPO0438",1.027,0.009
"SPO0439",0.914,0.033
"SPO0440",0.95,0.026
"SPO0441",1.002,0.073
"SPO0442",1.018,0.099
"SPO0443",1.112,0.056
"SPO0444",1.011,0.084
"SPO0445",0.929,0.035
"SPO0446",0.929,0.015
"SPO0447",0.93,0.023
"SPO0448",0.917,0.057
"SPO0450",0.989,0.03
"SPO0451",0.968,0.017
"SPO0452",0.891,0.05
"SPO0453",0.929,0.015
"SPO0454",1.025,0.015
"SPO0456",1.042,0.05
"SPO0457",1.023,0.024
"SPO0458",0.985,0.011
"SPO0460",0.928,0.044
"SPO0461",0.999,0.017
"SPO0462",0.938,0.038
"SPO0463",1.002,0.046
"SPO0464",1.042,0.061
"SPO0465",1.034,0.069
"SPO0466",0.944,0.05
"SPO0467",1.019,0.044
"SPO0468",0.976,0.046
"SPO0469",0.988,0.022
"SPO0470",0.999,0.025
"SPO0471",0.916,0.028
"SPO0472",0.901,0.033
"SPO0473",0.846,0.016
"SPO0474",1.004,0.022
"SPO0476",0.967,0.027
"SPO0477",0.929,0.052
"SPO0478",1.021,0.009
"SPO0479",0.994,0.006
"SPO0481",1.035,0.026
"SPO0482",0.987,0.034
"SPO0483",0.993,0.01
"SPO0489",0.992,0.021
"SPO0490",0.985,0.011
"SPO0491",1.001,0.01
"SPO0491a",0.928,0.033
"SPO0492",0.969,0.01
"SPO0503",0.804,0.035
"SPO0504",1.045,0.005
"SPO0504a",1.023,0.001
"SPO0507",1.105,0.027
"SPO0508",0.998,0.011
"SPO0512",0.772,0.023
"SPO0513",1.053,0.058
"SPO0514",1.043,0.026
"SPO0515",1.012,0.012
"SPO0516",0.846,0.033
"SPO0517",0.992,0.033
"SPO0520",1.036,0.04
"SPO0521",1.035,0.016
"SPO0522",1.055,0.022
"SPO0523",1.014,0.033
"SPO0524",1.018,0.016
"SPO0525",1.041,0.035
"SPO0526",0.5,0.5
"SPO0527",0.971,0.049
"SPO0528",0.961,0.015
"SPO0529",1.137,0.034
"SPO0532",0,NA
"SPO0533",1.014,0.031
"SPO0534",1.021,0.042
"SPO0535",0.967,0.022
"SPO0536",1.033,0.121
"SPO0539",1.027,0.037
"SPO0540",0.99,0.016
"SPO0541",0.964,0.012
"SPO0543",0.983,0.039
"SPO0544",0.977,0.005
"SPO0545",0.942,0.017
"SPO0546",0.954,0.03
"SPO0547",0.968,0.064
"SPO0548",0.951,0.019
"SPO0549",1.035,0.054
"SPO0550",1.064,0.077
"SPO0551",0.901,0.116
"SPO0552",1.009,0.176
"SPO0553",0.976,0.043
"SPO0554",0.992,0.023
"SPO0555",1.019,0.024
"SPO0556",1.001,0.014
"SPO0557",0.999,0.018
"SPO0558",1.008,0.016
"SPO0559",1.046,0.012
"SPO0560",0.981,0.021
"SPO0561",1.014,0.02
"SPO0562",0.988,0.072
"SPO0563",0.85,0.087
"SPO0564",0.976,0.012
"SPO0565",0.837,0.093
"SPO0566",0.819,0.05
"SPO0567",0.987,0.111
"SPO0568",1.031,0.015
"SPO0569",0.98,0.033
"SPO0570",0.957,0.059
"SPO0571",1.009,0.043
"SPO0572",0.96,0.068
"SPO0573",0.838,0.038
"SPO0574",0.997,0.005
"SPO0575",0.966,0.037
"SPO0576",1.039,0.03
"SPO0577",0.84,0.032
"SPO0578",0.899,0.043
"SPO0579",0.945,0.022
"SPO0580",1.034,0.094
"SPO0581",0.93,0.081
"SPO0582",1.034,0.023
"SPO0583",1.034,0.049
"SPO0584",1.031,0.02
"SPO0585",1.038,0.014
"SPO0586",0.992,0.013
"SPO0587",1.026,0.051
"SPO0588",1.033,0.11
"SPO0589",0.931,0.04
"SPO0590",0.924,0.034
"SPO0591",1.021,0.06
"SPO0592",0.945,0.043
"SPO0593",0.99,0.08
"SPO0594",0.797,0.058
"SPO0595",0.947,0.041
"SPO0596",0.848,0.078
"SPO0597",0.864,0.109
"SPO0598",0.91,0.027
"SPO0599",0.984,0.073
"SPO0600",0.968,0.016
"SPO0601",0.99,0.012
"SPO0602",0.959,0.009
"SPO0604",0.283,0.283
"SPO0605",0.939,0.031
"SPO0606",0.945,0.071
"SPO0607",0.939,0.073
"SPO0608",0.92,0.028
"SPO0609",1.01,0.039
"SPO0610",0.972,0.037
"SPO0611",0.934,0.013
"SPO0612",0.916,0.038
"SPO0613",0.926,0.055
"SPO0614",0.943,0.095
"SPO0615",1.019,0.016
"SPO0616",1.043,0.043
"SPO0618",0.968,0.011
"SPO0619",0.941,0.027
"SPO0620",0.921,0.031
"SPO0621",0.953,0.022
"SPO0622",0.96,0.005
"SPO0623",0.947,0.014
"SPO0624",0.949,0.014
"SPO0628",0.987,0.016
"SPO0628a",1.034,0.018
"SPO0629",1.039,0.018
"SPO0632",1.031,0.011
"SPO0633",1.03,0.029
"SPO0634",0.922,0.047
"SPO0635",1.028,0.015
"SPO0636",1.015,0.149
"SPO0638",0.978,0.036
"SPO0639",0.998,0.01
"SPO0641",1.003,0.023
"SPO0642",1.061,0.042
"SPO0643",0.989,0.039
"SPO0644",0.943,0.059
"SPO0645",1.012,0.025
"SPO0647",1,0.127
"SPO0648",1.028,0.019
"SPO0649",0.987,0.03
"SPO0650",0.971,0.016
"SPO0651",0.954,0.027
"SPO0652",1.024,0.234
"SPO0653",0.979,0.034
"SPO0654",1.022,0.043
"SPO0655",0.612,0.159
"SPO0657",1.033,0.037
"SPO0658",0.946,0.037
"SPO0659",0.916,0.05
"SPO0660",0.937,0.035
"SPO0661",0.921,0.051
"SPO0662",0.902,0.051
"SPO0663",0.88,0.038
"SPO0664",1.003,0.045
"SPO0665",1.035,0.097
"SPO0666",0.881,0.079
"SPO0668",0,NA
"SPO0670",0.955,0.036
"SPO0671",0.934,0.029
"SPO0672",1.021,0.031
"SPO0673",0.854,0.053
"SPO0674",0.896,0.017
"SPO0675",0.938,0.068
"SPO0676",0.828,0.293
"SPO0677",1.026,0.04
"SPO0678",1.006,0.019
"SPO0679",1.105,0.033
"SPO0680",1.003,0.034
"SPO0681",1.016,0.108
"SPO0682",1.032,0.022
"SPO0683",1.033,0.039
"SPO0684",1.042,0.084
"SPO0685",1.002,0.025
"SPO0686",0.965,0.022
"SPO0687",1.012,0.026
"SPO0688",1.03,0.03
"SPO0689",0.973,0.345
"SPO0690",0.951,0.037
"SPO0691",0.973,0.042
"SPO0692",0.967,0.026
"SPO0693",0.963,0.006
"SPO0694",0.956,0.042
"SPO0695",1.085,0.088
"SPO0697",0.94,0.054
"SPO0698",0.84,0.136
"SPO0699",0.859,0.025
"SPO0700",0.988,0.07
"SPO0701",1.029,0.016
"SPO0702",1.005,0.032
"SPO0703",0.981,0.047
"SPO0704",0.941,0.028
"SPO0705",0.959,0.036
"SPO0706",1.024,0.015
"SPO0707",0.882,0.031
"SPO0708",0.945,0.052
"SPO0710",0.961,0.036
"SPO0711",1.049,0.013
"SPO0712",1.041,0.032
"SPO0713",1.012,0.031
"SPO0714",0.455,0.455
"SPO0715",0.832,0.137
"SPO0716",1.023,0.021
"SPO0717",1.044,0.023
"SPO0718",0.923,0.035
"SPO0721",1.323,0.289
"SPO0722",1.187,0.186
"SPO0723",1.07,0.054
"SPO0724",1.033,0.021
"SPO0725",1.023,0.041
"SPO0727",0.767,0.271
"SPO0728",0.957,0.025
"SPO0729",0.884,NA
"SPO0732",1.075,NA
"SPO0733",0.996,0.034
"SPO0734",0.994,0.081
"SPO0735",1.051,0.032
"SPO0736",0.959,0.021
"SPO0737",1.076,0.083
"SPO0738",0.979,0.049
"SPO0739",1.005,0.019
"SPO0740",1.017,0.026
"SPO0741",0.997,0.023
"SPO0742",0.998,0.01
"SPO0743",0.849,0.056
"SPO0744",0.946,0.022
"SPO0745",0.939,0.012
"SPO0746",0.983,0.044
"SPO0747",0.952,0.027
"SPO0748",1.032,0.09
"SPO0749",0.969,0.04
"SPO0750",0.968,0.049
"SPO0751",0.974,0.026
"SPO0752",0.667,0.07
"SPO0753",1.034,0.03
"SPO0754",1.029,0.02
"SPO0755",1.071,0.03
"SPO0756",1.052,0.067
"SPO0757",1.07,0.012
"SPO0758",1.067,0.006
"SPO0759",1.045,0.043
"SPO0760",0.847,0.078
"SPO0761",0.93,0.046
"SPO0762",1.063,0.054
"SPO0763",0.961,0.009
"SPO0764",0.945,0.025
"SPO0765",0.909,0.025
"SPO0766",0.743,0.087
"SPO0767",0.517,0.304
"SPO0768",0.913,0.058
"SPO0769",1.023,0.016
