"spo","meanW","semW"
"SPO0105",0.99,0.01
"SPO0106",1.02,0.01
"SPO0107",1,0.02
"SPO0108",0.98,0.03
"SPO0109",1.01,0.01
"SPO0110",1.02,0
"SPO0111",1.04,0.01
"SPO0112",1.02,0
"SPO0113",1.02,0.01
"SPO0114",1.02,0.03
"SPO0115",0.98,0.01
"SPO0116",1.01,0.01
"SPO0118",0.96,0.02
"SPO0119",1.06,0.05
"SPO0120",1.01,0.01
"SPO0122",1,0.02
"SPO0123",0.98,0.01
"SPO0124",1.02,0.01
"SPO0125",1,0.03
"SPO0126",1.04,0.03
"SPO0127",1.1,0.04
"SPO0128",1.01,0.01
"SPO0129",1.03,0.03
"SPO0130",0.93,0.03
"SPO0131",1.06,0.06
"SPO0132",0.96,0.02
"SPO0133",0.98,0.01
"SPO0134",1.11,0.03
"SPO0135",1,0.02
"SPO0136",0.98,0.01
"SPO0137",1.01,0.02
"SPO0138",0.98,0.03
"SPO0139",0.98,0.02
"SPO0140",0.97,0.02
"SPO0141",0.98,0.06
"SPO0142",1.01,0.01
"SPO0143",0.96,0.02
"SPO0144",1.42,NA
"SPO0146",1.01,0.03
"SPO0147",0.78,0.05
"SPO0151",0.95,0.01
"SPO0152",0.96,0.02
"SPO0153",0.84,0.04
"SPO0154",1,0.02
"SPO0156",1.01,0.01
"SPO0157",0.99,0.01
"SPO0160",1.03,0.02
"SPO0161",1.01,0.03
"SPO0162",0.96,0.02
"SPO0163",0.96,0.01
"SPO0164",0.95,0.01
"SPO0165",0.97,0.04
"SPO0166",0.96,0.02
"SPO0167",0.98,0.03
"SPO0168",1,0.02
"SPO0169",0.98,0.02
"SPO0170",0.99,0.02
"SPO0171",1,0.04
"SPO0172",1.03,0.02
"SPO0173",0.92,0.07
"SPO0174",1.04,0.05
"SPO0175",0.96,0.04
"SPO0176",0.98,0.04
"SPO0177",0.98,0.03
"SPO0178",0.96,0.02
"SPO0179",0.85,0.05
"SPO0180",0.98,0.05
"SPO0181",1.01,0.06
"SPO0182",0.88,0.05
"SPO0183",0.98,0.03
"SPO0184",1.02,0.01
"SPO0185",0.98,0.02
"SPO0186",1.04,0.01
"SPO0187",0.94,0.06
"SPO0188",0.96,0.01
"SPO0189",0.96,0.03
"SPO0190",0.97,0.02
"SPO0191",0.95,0.04
"SPO0192",1,0.01
"SPO0193",0.98,0.03
"SPO0194",0.98,0.02
"SPO0195",0.97,0.02
"SPO0196",0.98,0.02
"SPO0197",0.96,0.02
"SPO0198",0.98,0.04
"SPO0199",1,0.02
"SPO0200",0.96,0.05
"SPO0201",0.91,0.07
"SPO0202",1.01,0.03
"SPO0203",1,0.02
"SPO0204",0.98,0.02
"SPO0205",1.02,0.02
"SPO0206",0.94,0.04
"SPO0207",0.99,0.02
"SPO0209",1,0.02
"SPO0210",0.26,0.05
"SPO0211",1.01,0.02
"SPO0212",1.02,0.02
"SPO0213",0.97,0.04
"SPO0214",0.99,0.02
"SPO0215",0.33,0.04
"SPO0216",0.27,0.06
"SPO0217",0.75,0.26
"SPO0218",0.98,0.02
"SPO0219",1.06,0.02
"SPO0220",0.99,0.01
"SPO0221",1.05,0.02
"SPO0222",1.02,0.02
"SPO0223",1.01,0.01
"SPO0224",0.96,0.01
"SPO0225",0.98,0.04
"SPO0226",0.94,0.03
"SPO0227",1.02,0.01
"SPO0228",1.02,0.03
"SPO0230",1.03,0.02
"SPO0231",1.04,0.02
"SPO0232",0.99,0.01
"SPO0233",0.95,0.08
"SPO0234",1.05,0.01
"SPO0235",1.04,0.01
"SPO0236",0.98,0.01
"SPO0237",1.02,0.01
"SPO0238",1,0.01
"SPO0239",1.02,0.01
"SPO0240",1.03,0.01
"SPO0241",0.98,0.02
"SPO0248",0.95,0.03
